"Sectorul agricol european produce alimente de înaltă calitate, protejează zone rurale vitale şi multe locuri de muncă, menţine şi promovează mediul cultural şi biodiversitatea şi poate aduce o contribuţie la conservarea combustibililor fosili prin producţia de materii prime regenerabile şi energie.","The European agricultural sector produces high-quality food, protects vital rural areas and many jobs, maintains and promotes our cultural landscape and biodiversity and can make a contribution to conserving fossil fuels through the production of renewable raw materials and energy.",,,
"Pentru a garanta că agricultura europeană va putea continua să îndeplinească aceste funcţii în viitor, trebuie să găsim un concept pentru perioada post 2013, care să permită îndeplinirea acestor numeroase sarcini.","To ensure that European agriculture can continue to perform these functions into the future, we must find a concept for the period post 2013 that will enable it to fulfil these many tasks.",,,
Salut faptul că dl comisar Cioloş a indicat clar că doreşte continuarea unui sistem bazat pe doi piloni.,I welcome the fact that Commissioner Cioloş has clearly indicated that he wishes to see a continuation of a two-pillar system.,,,
Grupul meu va susţine acest lucru.,My group will support this.,,,
"Primul pilon acţionează ca un factor de echilibru pentru constrângerile în temeiul cărora operează agricultura europeană raportată la alte regiuni din lume, în timp ce al doilea pilon implică crearea unui catalog de măsuri, care să permită celor 27 de state membre să se asigure că agricultura beneficiază de sprijin suplimentar în vederea îndeplinirii funcţiilor sale.","The first pillar acts as a balance to the constraints under which European agriculture operates in relation to other agricultural regions in the world, while the second pillar involves the creation of a catalogue of measures to enable the 27 Member States to ensure that agriculture receives additional aid to enable it to fulfil its functions.",,,
Majoritatea largă a Grupului Partidului Popular European (Creştin Democrat) va vota în favoare.,The vast majority of the Group of the European People's Party (Christian Democrats) will vote in favour.,,,
"(PT) Dle preşedinte, dle comisar, doamnelor şi domnilor, socialiştii şi democraţii sunt deosebit de încântaţi să îşi regăsească propunerile în raportul dlui Lyon: 80-90 % dintre amendamentele noastre au fost luate în considerare şi am putut sprijini 49 din cele 50 de angajamente votate de Comisia pentru agricultură.","(PT) Mr President, Commissioner, ladies and gentlemen, the Socialists and Democrats are particularly pleased to see their main proposals reflected in the Lyon report: 80-90% of our amendments were considered, and we were able to endorse 49 of the 50 commitments voted on by the Committee on Agriculture.",,,
Salutăm în special faptul că raportul Lyon include o clară bunăvoinţă de a menţine caracterul pur comunitar al PAC şi o dorinţă ca aceasta să primească în continuare un buget adecvat.,We particularly welcome the fact that the Lyon report includes a clear willingness to maintain the truly Community-minded character of the CAP and a desire for it to continue to receive an adequate budget.,,,
"Include o condamnare a criteriilor istorice de alocare a ajutorului către fermieri şi o înlocuire a acestora cu noi criterii, bazate în esenţă pe mediu, pe intenţia de a avansa către o distribuire mai echitabilă a sprijinului între fermieri şi statele membre, astfel cum au reiterat câţiva colegi şi recunoaşte că reglementarea pieţei şi gestionarea riscului şi a crizei necesită instrumente politice corespunzătoare.","It incorporates the condemnation of historical criteria for allocating aid to farmers and their replacement with new criteria, essentially based around the environment, the intention to move towards fairer distribution of support among farmers and Member States, as has been reiterated by several of my colleagues, and acknowledges that market regulation and risk and crisis management must have appropriate policy instruments.",,,
"Include, de asemenea, un nou sistem de sprijin bazat pe compensare pentru furnizarea de servicii şi bunuri publice care sunt spre beneficiul întregii societăţi, însă nu sunt remuneraţi de către piaţă.",It also includes a new system of support based on compensation for the provision of services and public goods that benefit the whole of society but receive no remuneration from the market.,,,
